num_verts prob_arc num_arcs max_cap seed dinic1 ek1 mpm1
500 1.0 124750 760 23570 0.00718851 2.74315 0.0458981
500 1.0 124750 760 25090 0.0141008 2.98375 0.0568658
500 1.0 124750 760 30445 0.00835157 2.63672 0.0561502
500 1.0 124750 760 4512 0.00728356 2.68312 0.04958
500 1.0 124750 8020 15592 0.00795302 2.60212 0.0676662
500 1.0 124750 8020 15923 0.00744338 2.76741 0.0397461
500 1.0 124750 8020 18036 0.00729818 2.75524 0.0388427
500 1.0 124750 8020 20253 0.0082462 2.92946 0.0420306
500 1.0 124750 8020 24325 0.0111067 2.35093 0.0478735
500 1.0 124750 8020 24813 0.00690825 2.54021 0.0359714
500 1.0 124750 8020 27595 0.00859578 2.90251 0.0463254
500 1.0 124750 8020 29556 0.00989331 2.77672 0.0486206
500 1.0 124750 8020 30159 0.00731875 2.44186 0.0428655
500 1.0 124750 8020 30895 0.0083372 3.21955 0.047535
500 1.0 124750 8680 15479 0.0104619 2.88582 0.0593545
500 1.0 124750 8680 16568 0.00950892 2.60382 0.0550089
500 1.0 124750 8680 16971 0.00765584 2.50997 0.0402809
500 1.0 124750 8680 17009 0.00822568 2.62985 0.0524998
500 1.0 124750 8680 17799 0.0113512 3.22697 0.0483036
500 1.0 124750 8680 23232 0.0082906 2.54633 0.0712318
500 1.0 124750 8680 30547 0.00962433 2.74633 0.0449265
500 1.0 124750 8680 4256 0.00849384 2.70187 0.0508285
500 1.0 124750 8680 4922 0.0107044 2.9449 0.0536525
500 1.0 124750 8680 9885 0.0129432 2.98575 0.0636309
500 1.0 124750 9340 15466 0.00846292 2.91401 0.0355935
500 1.0 124750 9340 17060 0.00787656 2.71064 0.0452053
500 1.0 124750 9340 192 0.00770824 2.79303 0.0525973
500 1.0 124750 9340 21114 0.00905987 2.99927 0.0460498
500 1.0 124750 9340 23068 0.00733357 2.34903 0.0420244
500 1.0 124750 9340 25095 0.00913948 3.31355 0.0464352
500 1.0 124750 9340 28133 0.00787693 2.78266 0.0563196
500 1.0 124750 9340 29375 0.00891357 3.19225 0.0369171
500 1.0 124750 9340 32127 0.00803119 2.57142 0.0455085
500 1.0 124750 9340 7782 0.00722136 2.6825 0.0427318
